group,id,term,zh,stage,state
map,map,Map,地图,1,target
map,map.orthogonal,Orthogonal,正交,1,target
map,map.fixed_size,Fixed-Size Map,固定尺寸地图,1,target
map,map.tile_size,Tile Size,瓦片尺寸,1,target
map,map.render_order,Render Order,渲染顺序,1,target
map,map.tile_layer_format,Tile Layer Format,瓦片图层存储格式,0,ref
map,map.isometric,Isometric,等角,0,no
map,map.isometric_staggered,Isometric (Staggered),交错等角,0,no
map,map.hexagonal_staggered,Hexagonal (Staggered),交错六边形,0,no
map,map.oblique,Oblique,斜投影,0,no
map,map.infinite,Infinite Map,无限地图,0,no
map,map.stagger_axis,Stagger Axis,交错轴,0,no
map,map.stagger_index,Stagger Index,交错索引,0,no
map,map.hex_side_length,Hex Side Length,六边形边长,0,no
map,map.skew,Skew,倾斜量,0,no
map,map.parallax_origin,Parallax Origin,视差原点,2,later
map,map.background_color,Background Color,背景颜色,2,later
map,map.compression_level,Compression Level,压缩级别,2,later
layers,layer.base,Layer,图层,1,target
layers,layer.order,Layer Order,图层顺序,1,target
layers,layer.visibility,Layer Visibility,图层显隐,1,target
layers,layer.lock,Layer Lock,图层锁定,1,target
layers,layer.name,Layer Name,图层命名,1,target
layers,layer.tile,Tile Layer,瓦片图层,1,target
layers,layer.object,Object Layer,对象图层,1,target
layers,layer.image,Image Layer,图像图层,2,later
layers,layer.group,Group Layer,组图层,2,later
layers,layer.opacity,Layer Opacity,图层不透明度,2,later
layers,layer.offset,Layer Offset,图层偏移,2,later
layers,layer.parallax_factor,Parallax Scrolling Factor,视差滚动系数,2,later
layers,layer.parallax_reference_point,Parallax Reference Point,视差参考点,2,later
layers,layer.tint,Tint Color,着色颜色,2,later
layers,layer.blend_mode,Blend Mode,混合模式,2,later
tile_tools,tool.stamp_brush,Stamp Brush,印章笔刷,1,target
tile_tools,tool.eraser,Eraser,橡皮擦,1,target
tile_tools,tool.rectangular_select,Rectangular Select,矩形选择,1,target
tile_tools,tool.magic_wand,Magic Wand,魔棒,2,later
tile_tools,tool.select_same_tile,Select Same Tile,选择相同瓦片,2,later
tile_tools,tool.bucket_fill,Bucket Fill Tool,油漆桶填充工具,2,later
tile_tools,tool.shape_fill,Shape Fill Tool,形状填充工具,2,later
tile_tools,tool.random_mode,Random Mode,随机模式,2,later
tile_tools,tool.terrain_fill_mode,Terrain Fill Mode,地形填充模式,2,later
tile_tools,tool.terrain_brush,Terrain Brush,地形笔刷,2,later
tile_tools,tool.tile_stamp_management,Managing Tile Stamps,管理瓦片印章,2,later
objects,object.rectangle,Rectangle Object,矩形对象,1,target
objects,object.point,Point Object,点对象,1,target
objects,object.select,Select Objects,选择对象,1,target
objects,object.move,Moving,移动,1,target
objects,object.ellipse,Ellipse Object,椭圆对象,2,later
objects,object.capsule,Capsule Object,胶囊对象,2,later
objects,object.polygon,Polygon Object,多边形对象,2,later
objects,object.polyline,Polyline Object,折线对象,2,later
objects,object.tile,Tile Object,瓦片对象,2,later
objects,object.template_instance,Template Instance,模板实例对象,2,later
objects,object.text,Text Object,文本对象,2,later
objects,object.resize,Resizing,缩放尺寸,2,later
objects,object.rotate,Rotating,旋转,2,later
objects,object.stacking_order,Changing Stacking Order,修改堆叠顺序,2,later
objects,object.flip,Flipping Objects,翻转对象,2,later
objects,object.edit_polygons,Edit Polygons,编辑多边形,2,later
objects,object.connect,Connecting Objects,连接对象,2,later
tilesets,tileset.base,Tileset,瓦片集,1,target
tilesets,tileset.image_based,Based on Tileset Image,基于单张图集的瓦片集,1,target
tilesets,tileset.external,External Tileset,外部瓦片集,1,target
tilesets,tileset.collection_of_images,Collection of Images,图像集合瓦片集,0,no
tilesets,tileset.embedded,Embedded Tileset,内嵌瓦片集,0,no
tilesets,tileset.properties,Tileset Properties,瓦片集属性,2,later
tilesets,tile.properties,Tile Properties,瓦片属性,2,later
tilesets,tile.collision_editor,Tile Collision Editor,瓦片碰撞编辑器,2,later
tilesets,tile.animation_editor,Tile Animation Editor,瓦片动画编辑器,2,later
